Season,Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
